################################################################
# abuse.ch URLhaus Database Dump (CSV - online URLs only)      #
# Last updated: 2022-09-29 13:34:05 (UTC)                      #
#                                                              #
# Terms Of Use: https://urlhaus.abuse.ch/api/                  #
# For questions please contact urlhaus [at] abuse.ch           #
################################################################
#
# id,dateadded,url,url_status,threat,tags,urlhaus_link,reporter
"2323155","2022-09-29 13:34:05","http://117.194.174.92:41821/bin.sh","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2323155/","geenensp"
"2323154","2022-09-29 13:24:05","http://125.45.64.162:47101/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2323154/","geenensp"
"2323152","2022-09-29 13:19:07","http://125.43.177.212:56358/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2323152/","geenensp"
"2323153","2022-09-29 13:19:07","http://123.14.194.114:60121/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2323153/","geenensp"
"2323151","2022-09-29 13:19:06","http://27.215.114.161:57452/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2323151/","geenensp"
"2323150","2022-09-29 13:18:08","http://39.165.53.17:8088/iposzz/dred","online","malware_download","None","https://urlhaus.abuse.ch/url/2323150/","anonymous"
"2323148","2022-09-29 13:05:05","http://42.227.38.238:58404/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2323148/","geenensp"
"2323147","2022-09-29 13:03:06","http://42.235.19.33:53047/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2323147/","geenensp"
"2323146","2022-09-29 13:02:05","http://119.165.110.171:44711/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2323146/","geenensp"
"2323145","2022-09-29 12:56:07","http://121.239.234.244:25888/.i","online","malware_download","hajime","https://urlhaus.abuse.ch/url/2323145/","geenensp"
"2323144","2022-09-29 12:56:04","http://107.182.129.226/uwu/x86?ddos","online","malware_download","ddos,mirai","https://urlhaus.abuse.ch/url/2323144/","Gandylyan1"
"2323143","2022-09-29 12:55:05","http://27.215.114.161:57452/bin.sh","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2323143/","geenensp"
"2323142","2022-09-29 12:54:06","http://113.116.58.193:53448/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2323142/","geenensp"
"2323141","2022-09-29 12:50:19","http://78.161.99.2:34916/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2323141/","geenensp"
"2323140","2022-09-29 12:42:17","http://74.118.47.175:40668/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2323140/","geenensp"
"2323139","2022-09-29 12:40:05","http://61.53.250.65:34256/mozi.m","online","malware_download","Mozi","https://urlhaus.abuse.ch/url/2323139/","tammeto"
"2323138","2022-09-29 12:38:06","http://60.178.32.12:37093/i","online","malware_download","32-bit,arm,elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2323138/","geenensp"
"2323137","2022-09-29 12:36:06","http://42.227.38.238:58404/bin.sh","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2323137/","geenensp"
"2323136","2022-09-29 12:25:06","http://113.90.191.239:57331/i","online","malware_download","32-bit,arm,elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2323136/","geenensp"
"2323135","2022-09-29 12:08:07","http://218.35.210.194:37461/i","online","malware_download","32-bit,arm,elf,Mozi","https://urlhaus.abuse.ch/url/2323135/","geenensp"
"2323133","2022-09-29 12:01:06","http://200.69.19.101:37855/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2323133/","geenensp"
"2323132","2022-09-29 11:56:05","http://113.90.191.239:57331/bin.sh","online","malware_download","32-bit,arm,elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2323132/","geenensp"
"2323131","2022-09-29 11:47:05","http://175.44.4.87:45777/mozi.a","online","malware_download","mirai","https://urlhaus.abuse.ch/url/2323131/","tammeto"
"2323130","2022-09-29 11:46:05","http://125.44.47.197:33456/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2323130/","geenensp"
"2323129","2022-09-29 11:42:06","http://60.162.192.213:38930/i","online","malware_download","32-bit,arm,elf,Mozi","https://urlhaus.abuse.ch/url/2323129/","geenensp"
"2323128","2022-09-29 11:41:06","http://115.61.138.134:34841/bin.sh","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2323128/","geenensp"
"2323127","2022-09-29 11:31:07","http://121.227.45.125:30527/.i","online","malware_download","hajime","https://urlhaus.abuse.ch/url/2323127/","geenensp"
"2323126","2022-09-29 11:31:04","http://42.225.239.30:54656/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2323126/","geenensp"
"2323125","2022-09-29 11:29:06","http://115.49.83.120:51388/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2323125/","geenensp"
"2323124","2022-09-29 11:28:34","http://223.10.55.55:46190/bin.sh","online","malware_download","32-bit,arm,elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2323124/","geenensp"
"2323123","2022-09-29 11:27:34","http://103.153.140.61:55053/bin.sh","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2323123/","geenensp"
"2323122","2022-09-29 11:27:06","http://182.119.206.23:59478/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2323122/","geenensp"
"2323121","2022-09-29 11:25:07","http://125.44.47.197:33456/bin.sh","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2323121/","geenensp"
"2323120","2022-09-29 11:20:04","http://89.39.3.12:46012/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2323120/","geenensp"
"2323119","2022-09-29 11:18:08","http://60.162.192.213:38930/bin.sh","online","malware_download","32-bit,arm,elf,Mozi","https://urlhaus.abuse.ch/url/2323119/","geenensp"
"2323118","2022-09-29 11:06:06","http://221.225.155.20:37074/.i","online","malware_download","hajime","https://urlhaus.abuse.ch/url/2323118/","geenensp"
"2323116","2022-09-29 10:59:06","http://42.225.239.30:54656/bin.sh","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2323116/","geenensp"
"2323115","2022-09-29 10:59:05","http://125.45.64.162:47101/bin.sh","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2323115/","geenensp"
"2323112","2022-09-29 10:56:04","http://176.97.210.166/bins/Cherppc","online","malware_download","DDoS Bot,mirai","https://urlhaus.abuse.ch/url/2323112/","Gandylyan1"
"2323113","2022-09-29 10:56:04","http://209.141.35.115/bins/arm6","online","malware_download","DDoS Bot,mirai","https://urlhaus.abuse.ch/url/2323113/","Gandylyan1"
"2323114","2022-09-29 10:56:04","http://209.141.59.250/bins/arm6","online","malware_download","DDoS Bot,mirai","https://urlhaus.abuse.ch/url/2323114/","Gandylyan1"
"2323111","2022-09-29 10:55:10","https://evoapp.cae.ge/eld/sciatelif","online","malware_download","bb,H322,Qakbot,TR,zip","https://urlhaus.abuse.ch/url/2323111/","ps66uk"
